#= Character Titles =#
### arabic religions ###
temple_baron_female_nabataean;Kahina;;;;;;;;;;;;x
temple_baron_nabataean_reformed;Kahin;;;;;;;;;;;;x
temple_baron_female_nabataean_reformed;Kahina;;;;;;;;;;;;x
temple_barony_of_nabataean;Temple of;;;;;;;;;;;x
temple_barony_of_nabataean_reformed;Temple of;;;;;;;;;;;x
baron_nabataean;Albarun;;;;;;;;;;;;x
baron_female_nabataean;Baruna;;;;;;;;;;;;x
barony_of_nabataean;Qalaea of;;;;;;;;;;;;x
count_nabataean;Muqta;;;;;;;;;;;;x
count_female_nabataean;Muqta Sidiya;;;;;;;;;;;;x
county_of_nabataean;Muqtat of;;;;;;;;;;;;x
duke_nabataean;Duq;;;;;;;;;;;;x
duke_female_nabataean;Dawqa;;;;;;;;;;;;x
duchy_of_nabataean;Duqdom of;;;;;;;;;;;;x
king_nabataean;Malik;;;;;;;;;;;;x
king_female_nabataean;Malika;;;;;;;;;;;;x
kingdom_of_nabataean;Malikate of;;;;;;;;;;;;x
emperor_nabataean;Keysar;;;;;;;;;;;;x
emperor_female_nabataean;Kiyisa;;;;;;;;;;;;x
empire_of_nabataean;Imbirutiyya of;;;;;;;;;;;;x
baron_nabataean_reformed;Albarun;;;;;;;;;;;;x
baron_female_nabataean_reformed;Baruna;;;;;;;;;;;;x
barony_of_nabataean_reformed;Qalaea of;;;;;;;;;;;;x
count_nabataean_reformed;Muqta;;;;;;;;;;;;x
count_female_nabataean_reformed;Muqta Sidiya;;;;;;;;;;;;x
county_of_nabataean_reformed;Muqtat of;;;;;;;;;;;;x
duke_nabataean_reformed;Duq;;;;;;;;;;;;x
duke_female_nabataean_reformed;Dawqa;;;;;;;;;;;;x
duchy_of_nabataean_reformed;Duqdom of;;;;;;;;;;;;x
king_nabataean_reformed;Malik;;;;;;;;;;;;x
king_female_nabataean_reformed;Malika;;;;;;;;;;;;x
kingdom_of_nabataean_reformed;Malikate of;;;;;;;;;;;;x
emperor_nabataean_reformed;Keysar;;;;;;;;;;;;x
emperor_female_nabataean_reformed;Kiyisa;;;;;;;;;;;;x
empire_of_nabataean_reformed;Imbirutiyya of;;;;;;;;;;;;x
temple_baron_sayhadic;Afkal;;;;;;;;;;;;x
temple_baron_female_sayhadic;Afkala;;;;;;;;;;;;x
temple_baron_sayhadic_reformed;Afkal;;;;;;;;;;;;x
temple_baron_female_sayhadic_reformed;Afkala;;;;;;;;;;;;x
temple_barony_of_sayhadic;Kalate of;;;;;;;;;;;x
temple_barony_of_sayhadic_reformed;Kalate of;;;;;;;;;;;x
baron_sayhadic;Albarun;;;;;;;;;;;;x
baron_female_sayhadic;Baruna;;;;;;;;;;;;x
barony_of_sayhadic;Qalaea of;;;;;;;;;;;;x
count_sayhadic;Muqta;;;;;;;;;;;;x
count_female_sayhadic;Muqta Sidiya;;;;;;;;;;;;x
county_of_sayhadic;Muqtat of;;;;;;;;;;;;x
duke_sayhadic;Duq;;;;;;;;;;;;x
duke_female_sayhadic;Dawqa;;;;;;;;;;;;x
duchy_of_sayhadic;Duqdom of;;;;;;;;;;;;x
king_sayhadic;Malik;;;;;;;;;;;;x
king_female_sayhadic;Malika;;;;;;;;;;;;x
kingdom_of_sayhadic;Malikate of;;;;;;;;;;;;x
emperor_sayhadic;Keysar;;;;;;;;;;;;x
emperor_female_sayhadic;Kiyisa;;;;;;;;;;;;x
empire_of_sayhadic;Imbirutiyya of;;;;;;;;;;;;x
baron_sayhadic_reformed;Albarun;;;;;;;;;;;;x
baron_female_sayhadic_reformed;Baruna;;;;;;;;;;;;x
barony_of_sayhadic_reformed;Qalaea of;;;;;;;;;;;;x
count_sayhadic_reformed;Muqta;;;;;;;;;;;;x
count_female_sayhadic_reformed;Muqta Sidiya;;;;;;;;;;;;x
county_of_sayhadic_reformed;Muqtat of;;;;;;;;;;;;x
duke_sayhadic_reformed;Duq;;;;;;;;;;;;x
duke_female_sayhadic_reformed;Dawqa;;;;;;;;;;;;x
duchy_of_sayhadic_reformed;Duqdom of;;;;;;;;;;;;x
king_sayhadic_reformed;Malik;;;;;;;;;;;;x
king_female_sayhadic_reformed;Malika;;;;;;;;;;;;x
kingdom_of_sayhadic_reformed;Malikate of;;;;;;;;;;;;x
emperor_sayhadic_reformed;Keysar;;;;;;;;;;;;x
emperor_female_sayhadic_reformed;Kiyisa;;;;;;;;;;;;x
empire_of_sayhadic_reformed;Imbirutiyya of;;;;;;;;;;;;x
city_duke_sayhadic;Madina-Amir;Madina-Amir;;;;;;x
city_duchy_of_sayhadic;Madina-Qabayla of;Madina-Qabayla de;;;;;;;x
city_duke_nabataean;Madina-Amir;Madina-Amir;;;;;;x
city_duchy_of_nabataean;Madina-Qabayla of;Madina-Qabayla de;;;;;;;x
### hellenic / italic ###
temple_baron_hellenic;Hierarch;;;;;;;;;;;;x
temple_female_baron_hellenic;Hierarchess;;;;;;;;;;;;x
temple_barony_of_hellenic;Hierarchy of;;;;;;;;;;;;x
temple_count_hellenic;Archierarch;;;;;;;;;;;;x
temple_female_count_hellenic;Archierarchess;;;;;;;;;;;;x
temple_county_of_hellenic;Archierarchy of;;;;;;;;;;;;x
temple_duke_hellenic;Prophet;;;;;;;;;;;;x
temple_female_duke_hellenic;Sibyl;;;;;;;;;;;;x
temple_duchy_of_hellenic;Sibylate of;;;;;;;;;;;;x
temple_baron_italic;Flamen;Flamen;Flamen;;Flamen;;;;;;;;;x
temple_baron_female_italic;Vestal;Vestale;Vestal;;Vestal;;;;;;;;;x
temple_count_italic;High Augur;Grand augure;Hoher Augur;;Alto augur;;;;;;;;;x
temple_count_female_italic;High Vestal;Grande vestale;Hohe Seherin;;Alta vestal;;;;;;;;;x
temple_duke_italic;Pontifex;Pontifex;Pontifex;;Pontífice;;;;;;;;;x
temple_duke_female_italic;Pontifex;Pontifex;Pontifex;;Pontífice;;;;;;;;;x
job_spiritual_hellenic;Hierarch;;;;;;;;;;;;;x
job_spiritual_female_hellenic;Oracle;;;;;;;;;;;;;x
job_spiritual_italic;Augur;Augure;Augur;;Augur;;;;;;;;;x
job_spiritual_female_italic;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x
### chaldean/mesopotamian ###
emperor_chaldean;Lugal Kurkur;;;;;;;;;;;;;x
emperor_female_chaldean;Issinin;;;;;;;;;;;;;x
empire_of_chaldean;Empire of;;;;;;;;;;;;;x
king_chaldean;Lugal;;;;;;;;;;;;x
king_female_chaldean;Nin;;;;;;;;;;;;x
kingdom_of_chaldean;Lugalum of ;;;;;;;;;;;;x
duke_chaldean;Ensi;;;;;;;;;;;;;x
duke_female_chaldean;Ensia;;;;;;;;;;;;;x
duchy_of_chaldean;Ensidom of;;;;;;;;;;;;;x
count_chaldean;Diku;;;;;;;;;;;;;x
count_female_chaldean;Dikutu;;;;;;;;;;;;;x
county_of_chaldean;Dikut of;;;;;;;;;;;;;x
baron_chaldean;Belum;;;;;;;;;;;;;x
baron_female_chaldean;Belisa;;;;;;;;;;;;;x
barony_of_chaldean;Belutum of;;;;;;;;;;;;;x
emperor_chaldean_reformed;Lugal Kurkur;;;;;;;;;;;;;x
emperor_female_chaldean_reformed;Issi Eresum;;;;;;;;;;;;;x
empire_of_chaldean_reformed;Empire of;;;;;;;;;;;;;x
king_chaldean_reformed;Lugal;;;;;;;;;;;;x
king_female_chaldean_reformed;Eresum;;;;;;;;;;;;x
kingdom_of_chaldean_reformed;Lugalum of ;;;;;;;;;;;;x
duke_chaldean_reformed;Ensi;;;;;;;;;;;;;x
duke_female_chaldean_reformed;Ensia;;;;;;;;;;;;;x
duchy_of_chaldean_reformed;Ensidom of;;;;;;;;;;;;;x
count_chaldean_reformed;Diku;;;;;;;;;;;;;x
count_female_chaldean_reformed;Dikutu;;;;;;;;;;;;;x
county_of_chaldean_reformed;Dikut of;;;;;;;;;;;;;x
baron_chaldean_reformed;Belum;;;;;;;;;;;;;x
baron_female_chaldean_reformed;Belisa;;;;;;;;;;;;;x
barony_of_chaldean_reformed;Belutum of;;;;;;;;;;;;;x
temple_county_chaldean;Passis;;;;;;;;;;;;x
temple_county_female_chaldean;Passisut;;;;;;;;;;;;x
temple_county_of_chaldean;Passisate of;;;;;;;;;;;;x
temple_baron_chaldean;Kalum;;;;;;;;;;;;x
temple_baron_female_chaldean;Kalua;;;;;;;;;;;;x
temple_barony_of_chaldean;Ziggurat of;;;;;;;;;;;;x
temple_county_chaldean_reformed;Passis;;;;;;;;;;;;x
temple_county_female_chaldean_reformed;Passisut;;;;;;;;;;;;x
temple_county_of_chaldean_reformed;Passisate of;;;;;;;;;;;;x
temple_baron_chaldean_reformed;Kalum;;;;;;;;;;;;x
temple_baron_female_chaldean_reformed;Kalua;;;;;;;;;;;;x
temple_barony_of_chaldean_reformed;Ziggurat of;;;;;;;;;;;;x
job_chancellor_chaldean;Siris;;;;;;;;;;;;x
job_chancellor_chaldean_reformed;Siris;;;;;;;;;;;;x
city_job_chancellor_chaldean;Siris;;;;;;;;;;;;x
city_job_chancellor_chaldean_reformed;Siris;;;;;;;;;;;;x
job_marshal_chaldean;Muma'irru;;;;;;;;;;;;x
job_marshal_chaldean_reformed;Muma'irru;;;;;;;;;;;;x
city_job_marshal_chaldean;Muma'irru;;;;;;;;;;;;x
city_job_marshal_chaldean_reformed;Muma'irru;;;;;;;;;;;;x
job_spiritual_chaldean;Sangu Mah;;;;;;;;;;;;x
job_spiritual_chaldean_reformed;Sangu Mah;;;;;;;;;;;;x
city_job_spiritual_chaldean;Sangu Mah;;;;;;;;;;;;x
city_job_spiritual_chaldean_reformed;Sangu Mah;;;;;;;;;;;;x
job_spymaster_chaldean;Halilum;;;;;;;;;;;;x
job_spymaster_chaldean_reformed;Halilum;;;;;;;;;;;;x
city_job_spymaster_chaldean;Halilum;;;;;;;;;;;;x
city_job_spymaster_chaldean_reformed;Halilum;;;;;;;;;;;;x
job_treasurer_chaldean;Abarakku;;;;;;;;;;;;x
job_treasurer_chaldean_reformed;Abarakku;;;;;;;;;;;;x
city_job_treasurer_chaldean;Abarakku;;;;;;;;;;;;x
city_job_treasurer_chaldean_reformed;Abarakku;;;;;;;;;;;;x
title_prince_chaldean;Mar Sarrim;;;;;;;;;;;;x
title_prince_female_chaldean;Mar'at Sarri;;;;;;;;;;;;x
ENU;Enu;;;;;;;;;;;;x
ENUTU;Enutu;;;;;;;;;;;;x
ENU_FOA;Speaker for the gods;;;;;;;;;;;;x
### celtic religions ###
temple_baron_druidic;Sagart;Sagart;;;;;;;;;;x
temple_count_druidic;Druid;Druide;;;;;;;;;;x
temple_duke_druidic;Sorceror;;;;;;;;;;;x
temple_duke_female_druidic;Sorceress;;;;;;;;;;;x
temple_king_druidic;Archdruid;Archidruide;;;;;;;;;;;;x
temple_emperor_druidic;Druid-King;Druide-Roi;;;;;;;;;;x
temple_barony_of_druidic;Temple of;;;;;;;;;;;x
temple_county_of_druidic;Druidric of;;;;;;;;;;;x
temple_duchy_of_druidic;Sorcerate of;Sorcerate de;;;;;;;;;;x
temple_kingdom_of_druidic;Archdruidric of;Archedruiderie de;;;;;;;;;;x
temple_empire_of_druidic;Theocracy of;;;;;;;;;;;x
job_spiritual_druidic;Court Druid;Druide de la Cour;;;;;;;;;;x
temple_count_brythonic;Dryad;;;;;;;;;;;x
temple_king_brythonic;Archdryad;;;;;;;;;;;;;x
temple_county_of_brythonic;Dryadric of;;;;;;;;;;;x
temple_kingdom_of_brythonic;Archdryadric of;;;;;;;;;;;;;x
temple_count_brythonic_reformed;Dryad;;;;;;;;;;;x
temple_king_brythonic_reformed;Archdryad;;;;;;;;;;;;;x
temple_county_of_brythonic_reformed;Dryadric of;;;;;;;;;;;x
temple_kingdom_of_brythonic_reformed;Archdryadric of;;;;;;;;;;;;;x
### scythian pagan ###
temple_baron_heptadic;Enarei;Enarée;;;;;;;;;;x
job_spiritual_heptadic;Grand Enarei;Grand Enarée;;;;;;;;;;x
d_heptadic_reformed;Tabitian Council;L'Église Tabitienne;;;;;;;;;;x
d_heptadic_reformed_DESC;Heptadic;Heptadien;;;;;;;;;;x
d_wasilla_guardians;Guardians of Wasilla;Gardiens de Wasilla;;;;;;;x
d_xucau_warriors;Warriors of Xucaua;Guerriers de Xucaua;;;;;;x
HEAD_ENAREI;High Enarei;Haut Enarei;;;;;;x
## TWEAK DESC HERE vvv

temple_baron_vasconic;Zai;Zai;;;;;;;;;;x
d_vasconic_reformed;Zai Gorena;Zai Gorena;Zai Gorena;;Zai Gorena;;;;;;;;;x
